equipment_type,model,site_id,season,region,month,rental_days,previous_rental_count,avg_engine_hours,avg_idle_hours,utilization_rate,target_expected_demand
Compact Track Loader,259D3,SITE_041,Winter,West,8,56,11,7.95,2.95,0.7293,22.0
Excavator,336,SITE_024,Monsoon,South,3,9,43,4.32,3.97,0.5213,48.0
Compact Track Loader,259D3,SITE_022,Summer,West,3,69,40,10.13,2.05,0.8313,39.0
Bulldozer,D8,SITE_023,Winter,West,1,87,44,4.92,1.59,0.7558,52.0
Backhoe Loader,420,SITE_043,Winter,North,7,50,42,4.1,1.38,0.748,36.0
Excavator,320 GC,SITE_030,Winter,West,9,34,7,5.67,3.59,0.6125,34.0
Wheel Loader,950 GC,SITE_043,Monsoon,South,5,36,30,9.79,3.6,0.7312,38.0
Backhoe Loader,420,SITE_014,Winter,South,1,78,48,6.3,2.97,0.6791,41.0
Articulated Truck,745,SITE_009,PostMonsoon,West,8,60,20,7.57,2.33,0.7648,38.0
Compact Track Loader,259D3,SITE_007,PostMonsoon,South,7,49,25,8.38,3.48,0.7067,32.0
Compact Track Loader,259D3,SITE_049,PostMonsoon,West,5,11,3,9.91,2.47,0.8007,26.0
Bulldozer,D6,SITE_036,Summer,East,4,7,9,10.79,2.06,0.8395,37.0
Bulldozer,D8,SITE_025,PostMonsoon,North,1,22,32,4.75,2.43,0.662,49.0
Excavator,336,SITE_034,Monsoon,South,9,41,43,9.98,1.33,0.8826,50.0
Excavator,336,SITE_017,PostMonsoon,West,12,23,28,9.44,2.25,0.8073,56.0
Bulldozer,D8,SITE_033,Monsoon,West,4,60,2,8.61,1.46,0.8548,30.0
Backhoe Loader,420,SITE_022,Summer,South,8,54,21,7.5,3.33,0.6923,37.0
Motor Grader,140,SITE_050,Summer,West,6,84,14,10.46,3.83,0.7318,36.0
Motor Grader,140,SITE_002,Monsoon,North,5,66,10,6.7,3.96,0.6285,22.0
Bulldozer,D8,SITE_025,PostMonsoon,North,7,39,42,10.45,3.24,0.7631,53.0
Bulldozer,D8,SITE_001,Monsoon,West,5,39,47,9.29,1.86,0.8328,48.0
Backhoe Loader,420,SITE_022,Summer,East,10,9,16,9.4,2.57,0.7851,36.0
Wheel Loader,950 GC,SITE_005,Winter,North,1,74,17,9.81,3.28,0.7494,40.0
Excavator,320 GC,SITE_037,Monsoon,North,11,48,31,4.57,1.58,0.7431,39.0
Bulldozer,D8,SITE_003,PostMonsoon,East,7,75,28,10.97,3.35,0.7661,48.0
Wheel Loader,950 GC,SITE_037,PostMonsoon,West,6,49,43,8.11,3.16,0.7196,50.0
Bulldozer,D8,SITE_031,PostMonsoon,East,4,19,35,9.07,3.9,0.6995,52.0
Excavator,336,SITE_025,PostMonsoon,South,2,45,35,9.64,2.56,0.7904,59.0
Excavator,320 GC,SITE_027,Monsoon,South,10,10,31,6.02,1.53,0.7976,41.0
Motor Grader,140,SITE_010,Winter,South,6,25,31,10.99,3.81,0.7428,37.0
Bulldozer,D6,SITE_008,Monsoon,West,11,88,43,9.33,3.81,0.7099,40.0
Motor Grader,140,SITE_042,Monsoon,West,11,17,5,5.88,2.31,0.7181,25.0
Wheel Loader,950 GC,SITE_038,Monsoon,South,11,36,39,6.33,3.27,0.659,36.0
Articulated Truck,745,SITE_037,PostMonsoon,South,8,70,6,8.58,2.18,0.7976,35.0
Wheel Loader,950 GC,SITE_020,Monsoon,West,1,19,37,7.61,2.38,0.7617,44.0
Excavator,320 GC,SITE_020,Summer,North,12,9,42,5.03,1.48,0.7727,61.0
Excavator,336,SITE_001,Winter,West,7,23,14,7.64,2.83,0.73,45.0
Compact Track Loader,259D3,SITE_035,Summer,South,2,21,22,9.95,2.92,0.7729,36.0
Articulated Truck,745,SITE_050,Monsoon,East,2,54,2,5.68,1.8,0.7591,25.0
Excavator,336,SITE_032,Summer,West,1,11,36,4.29,2.06,0.6751,63.0
Articulated Truck,745,SITE_017,Winter,South,1,29,22,10.35,3.91,0.7259,35.0
Bulldozer,D8,SITE_021,PostMonsoon,West,4,61,12,6.92,3.45,0.6671,38.0
Excavator,320 GC,SITE_038,Summer,North,6,24,15,4.89,2.44,0.6668,42.0
Wheel Loader,950 GC,SITE_045,PostMonsoon,South,2,78,43,7.99,2.75,0.7439,49.0
Excavator,320 GC,SITE_032,Winter,East,4,79,20,9.64,3.36,0.7418,42.0
Compact Track Loader,259D3,SITE_004,Winter,West,3,60,19,8.28,3.57,0.6986,29.0
Excavator,336,SITE_008,Monsoon,South,6,17,29,9.21,2.66,0.7762,41.0
Wheel Loader,950 GC,SITE_014,Summer,West,2,39,45,7.01,3.24,0.6838,57.0
Bulldozer,D6,SITE_012,Summer,North,3,31,24,8.21,2.41,0.7729,42.0
Bulldozer,D6,SITE_033,PostMonsoon,East,1,36,14,5.61,3.53,0.6137,35.0
Wheel Loader,950 GC,SITE_050,PostMonsoon,West,4,78,46,10.55,1.29,0.8908,53.0
Compact Track Loader,259D3,SITE_038,Monsoon,North,6,46,13,5.07,2.4,0.6786,28.0
Articulated Truck,745,SITE_045,Winter,East,5,47,44,4.26,2.41,0.6387,38.0
Excavator,320 GC,SITE_009,Winter,East,6,66,29,10.49,3.73,0.7375,42.0
Wheel Loader,966,SITE_004,Winter,South,10,41,22,4.91,1.86,0.7256,42.0
Wheel Loader,950 GC,SITE_024,Winter,East,12,40,21,9.93,3.53,0.738,33.0
Bulldozer,D8,SITE_004,PostMonsoon,North,2,24,3,7.32,2.17,0.7716,38.0
Bulldozer,D8,SITE_032,Winter,South,8,56,44,7.75,2.19,0.7794,50.0
Wheel Loader,950 GC,SITE_022,Winter,East,10,28,47,4.91,3.22,0.6041,46.0
Compact Track Loader,259D3,SITE_006,Winter,East,11,48,38,4.27,2.83,0.6017,38.0
Excavator,320 GC,SITE_028,Winter,West,2,19,28,4.67,3.08,0.6022,44.0
Excavator,336,SITE_044,Summer,West,5,9,41,9.62,3.32,0.7434,65.0
Bulldozer,D8,SITE_045,Monsoon,East,3,82,44,4.78,2.5,0.656,40.0
Bulldozer,D6,SITE_047,Winter,East,1,8,41,9.88,1.31,0.883,45.0
Bulldozer,D6,SITE_035,Summer,South,12,46,15,9.61,3.51,0.7323,40.0
Bulldozer,D6,SITE_021,Monsoon,East,9,64,41,5.18,1.12,0.8216,42.0
Articulated Truck,745,SITE_027,Monsoon,East,8,78,23,4.85,2.15,0.6931,33.0
Bulldozer,D6,SITE_044,PostMonsoon,South,10,56,27,6.46,2.13,0.7523,41.0
Bulldozer,D6,SITE_011,Monsoon,South,12,54,32,4.76,1.04,0.8203,36.0
Wheel Loader,950 GC,SITE_018,PostMonsoon,North,2,71,12,8.3,3.65,0.6945,39.0
Motor Grader,140,SITE_041,PostMonsoon,East,9,28,30,8.8,3.75,0.701,41.0
Motor Grader,140,SITE_031,PostMonsoon,West,7,46,2,8.99,2.21,0.8026,27.0
Wheel Loader,950 GC,SITE_014,Monsoon,North,10,89,5,6.94,2.92,0.7037,22.0
Excavator,320 GC,SITE_005,Summer,North,8,73,7,6.85,1.32,0.8382,46.0
Motor Grader,140,SITE_050,Winter,South,4,32,14,4.4,1.56,0.7381,30.0
Excavator,336,SITE_009,Summer,North,12,12,33,5.81,2.36,0.7114,64.0
Motor Grader,140,SITE_043,Monsoon,East,2,61,19,7.83,3.06,0.719,28.0
Excavator,336,SITE_007,Winter,South,7,35,11,8.99,3.62,0.7129,40.0
Excavator,320 GC,SITE_012,PostMonsoon,North,7,67,8,6.45,1.02,0.8633,43.0
Wheel Loader,966,SITE_046,PostMonsoon,East,2,84,13,6.29,3.38,0.6508,47.0
Bulldozer,D6,SITE_016,PostMonsoon,North,9,20,12,9.76,1.91,0.8364,35.0
Motor Grader,140,SITE_036,Summer,North,9,8,36,8.97,1.44,0.8615,42.0
Wheel Loader,950 GC,SITE_028,Winter,North,10,13,18,7.37,2.73,0.7299,35.0
Wheel Loader,950 GC,SITE_036,Summer,East,5,78,8,9.11,1.67,0.8451,43.0
Bulldozer,D6,SITE_022,Summer,East,6,48,15,4.38,3.79,0.5364,40.0
Wheel Loader,950 GC,SITE_035,Monsoon,West,1,57,29,8.14,3.89,0.677,35.0
Wheel Loader,966,SITE_036,Winter,West,4,54,15,5.0,2.13,0.7016,39.0
Compact Track Loader,259D3,SITE_048,Monsoon,North,3,28,14,5.35,3.43,0.6095,23.0
Bulldozer,D6,SITE_009,Monsoon,East,2,32,39,6.03,1.18,0.8366,40.0
Motor Grader,140,SITE_043,Winter,North,3,22,14,5.13,2.32,0.689,31.0
Excavator,336,SITE_005,Winter,West,11,24,42,7.96,2.91,0.7325,53.0
Wheel Loader,966,SITE_005,Summer,North,11,21,47,6.49,2.95,0.6872,61.0
Excavator,320 GC,SITE_001,Winter,South,7,69,16,5.22,2.65,0.6629,41.0
Motor Grader,140,SITE_020,PostMonsoon,West,8,85,47,4.13,3.8,0.5209,41.0
Motor Grader,140,SITE_038,Winter,South,8,54,3,9.07,2.64,0.7743,26.0
Excavator,320 GC,SITE_045,Monsoon,West,1,86,20,8.85,3.45,0.7197,35.0
Motor Grader,140,SITE_015,Winter,West,2,81,40,4.59,2.9,0.6127,40.0
Motor Grader,140,SITE_029,Summer,South,12,77,9,9.71,1.27,0.8841,33.0
Bulldozer,D6,SITE_019,Monsoon,East,2,53,4,8.08,2.76,0.7454,28.0
Bulldozer,D6,SITE_040,Winter,East,10,48,13,4.83,2.85,0.6289,32.0
Excavator,336,SITE_032,Summer,West,4,55,44,4.54,1.35,0.7702,66.0
Articulated Truck,745,SITE_033,Monsoon,South,9,69,10,7.44,2.9,0.7191,30.0
Bulldozer,D8,SITE_013,Monsoon,North,11,62,23,5.94,3.6,0.6223,33.0
Motor Grader,140,SITE_021,Summer,East,12,85,19,9.96,1.89,0.8403,41.0
Bulldozer,D8,SITE_045,PostMonsoon,East,4,18,19,8.83,1.66,0.8414,46.0
Backhoe Loader,420,SITE_029,PostMonsoon,East,2,88,34,10.21,2.16,0.8255,38.0
Wheel Loader,950 GC,SITE_039,Monsoon,North,5,64,4,7.44,3.71,0.6674,25.0
Excavator,320 GC,SITE_025,PostMonsoon,West,4,60,46,10.22,1.75,0.8541,56.0
Articulated Truck,745,SITE_045,PostMonsoon,West,11,54,30,7.95,3.65,0.6852,41.0
Articulated Truck,745,SITE_026,Monsoon,East,5,86,3,10.1,1.62,0.8615,23.0
Bulldozer,D6,SITE_036,Monsoon,North,3,88,33,8.98,3.28,0.7326,38.0
Wheel Loader,950 GC,SITE_022,Winter,West,10,66,3,7.7,3.12,0.7114,31.0
Wheel Loader,950 GC,SITE_007,PostMonsoon,East,5,10,12,6.09,2.57,0.7033,38.0
Articulated Truck,745,SITE_033,Summer,North,4,27,49,10.26,2.96,0.7759,55.0
Bulldozer,D8,SITE_032,Winter,North,5,74,14,9.96,2.37,0.8078,40.0
Excavator,320 GC,SITE_050,Monsoon,North,6,79,30,6.83,1.95,0.778,39.0
Excavator,320 GC,SITE_038,Winter,East,11,65,26,6.26,3.35,0.6516,41.0
Articulated Truck,745,SITE_017,Monsoon,West,2,19,16,4.1,3.02,0.5759,22.0
Excavator,320 GC,SITE_033,Winter,North,5,78,48,6.08,1.83,0.7685,55.0
Excavator,336,SITE_029,Summer,South,5,68,43,4.16,2.4,0.6347,65.0
Backhoe Loader,420,SITE_037,Winter,West,12,70,23,8.21,2.74,0.7499,31.0
Wheel Loader,950 GC,SITE_035,Monsoon,East,2,51,16,5.95,3.72,0.6154,29.0
Motor Grader,140,SITE_038,Winter,West,5,50,45,6.12,2.82,0.6849,41.0
Excavator,320 GC,SITE_003,PostMonsoon,North,5,68,48,5.12,2.7,0.6546,55.0
Wheel Loader,950 GC,SITE_034,Summer,South,9,22,26,6.57,1.98,0.7682,48.0
Backhoe Loader,420,SITE_020,Summer,North,1,21,9,7.16,1.15,0.8612,29.0
Backhoe Loader,420,SITE_040,Monsoon,North,8,65,20,4.42,3.73,0.5421,24.0
Wheel Loader,950 GC,SITE_031,Winter,North,10,34,32,10.03,2.75,0.785,40.0
Bulldozer,D8,SITE_008,Monsoon,East,3,36,34,5.51,2.91,0.6542,37.0
Backhoe Loader,420,SITE_044,Summer,West,8,23,7,6.86,2.59,0.7261,30.0
Excavator,320 GC,SITE_041,PostMonsoon,West,3,85,11,8.29,1.19,0.8746,46.0
Excavator,336,SITE_008,Summer,North,8,59,6,5.56,2.05,0.7308,51.0
Excavator,336,SITE_003,Monsoon,South,8,11,14,4.21,1.01,0.807,39.0
Motor Grader,140,SITE_042,Winter,East,9,57,29,10.1,1.67,0.8584,37.0
Compact Track Loader,259D3,SITE_021,Summer,East,2,71,18,6.17,3.1,0.6659,32.0
Wheel Loader,950 GC,SITE_034,Summer,West,11,27,20,5.15,2.67,0.6585,41.0
Backhoe Loader,420,SITE_030,Winter,South,1,13,5,6.34,1.6,0.7985,24.0
Bulldozer,D8,SITE_011,Monsoon,West,4,51,32,7.97,2.89,0.7342,40.0
Excavator,320 GC,SITE_030,Summer,East,9,36,34,6.01,1.1,0.8449,52.0
Excavator,336,SITE_044,Monsoon,East,6,14,23,9.97,2.64,0.7906,44.0
Bulldozer,D8,SITE_030,Monsoon,East,2,49,31,7.63,2.29,0.7691,37.0
Backhoe Loader,420,SITE_010,PostMonsoon,South,3,67,33,10.0,2.89,0.7757,36.0
Motor Grader,140,SITE_019,Winter,North,6,72,16,7.25,2.53,0.7412,24.0
Motor Grader,140,SITE_044,PostMonsoon,South,10,38,46,5.22,2.83,0.6485,45.0
Excavator,320 GC,SITE_012,Monsoon,North,7,7,44,9.06,1.11,0.8911,45.0
Wheel Loader,950 GC,SITE_026,PostMonsoon,West,8,74,27,10.43,1.84,0.85,45.0
Excavator,336,SITE_025,PostMonsoon,East,3,80,14,6.05,1.38,0.8147,50.0
Wheel Loader,950 GC,SITE_020,Summer,North,4,31,13,7.08,1.79,0.7985,40.0
Wheel Loader,966,SITE_001,Monsoon,South,2,84,36,10.39,3.61,0.7424,44.0
Backhoe Loader,420,SITE_013,Summer,West,10,34,30,4.47,2.48,0.643,38.0
Wheel Loader,966,SITE_018,PostMonsoon,South,8,73,11,7.89,3.55,0.69,47.0
Wheel Loader,966,SITE_048,Winter,West,5,68,43,9.69,2.14,0.8194,50.0
Compact Track Loader,259D3,SITE_019,PostMonsoon,West,8,47,36,8.31,3.94,0.6784,37.0
Wheel Loader,966,SITE_016,Monsoon,East,6,41,23,8.63,2.25,0.7934,41.0
Excavator,320 GC,SITE_049,Summer,North,7,84,34,8.96,3.42,0.724,53.0
Backhoe Loader,420,SITE_018,Monsoon,East,9,25,46,8.48,1.73,0.8303,37.0
Excavator,336,SITE_042,PostMonsoon,South,5,48,49,5.71,3.29,0.6342,62.0
Excavator,336,SITE_016,Winter,West,5,50,39,10.08,2.62,0.7938,56.0
Wheel Loader,950 GC,SITE_023,Winter,South,5,64,42,6.11,1.61,0.7912,47.0
Wheel Loader,966,SITE_033,Summer,East,2,11,25,7.73,3.52,0.6869,54.0
Excavator,336,SITE_015,PostMonsoon,West,5,21,45,5.72,1.22,0.8243,64.0
Motor Grader,140,SITE_028,PostMonsoon,South,7,89,15,10.9,1.69,0.8656,36.0
Bulldozer,D6,SITE_048,Winter,North,10,66,43,6.7,3.88,0.6331,44.0
Articulated Truck,745,SITE_048,Winter,West,6,49,16,5.86,2.55,0.6967,31.0
Backhoe Loader,420,SITE_045,PostMonsoon,North,3,71,41,10.54,3.96,0.7269,40.0
Bulldozer,D8,SITE_046,Summer,South,12,11,45,4.04,3.91,0.508,56.0
Articulated Truck,745,SITE_018,Monsoon,South,1,24,36,6.77,3.22,0.6775,35.0
Motor Grader,140,SITE_045,Winter,East,2,86,40,9.75,1.11,0.8974,41.0
Wheel Loader,950 GC,SITE_012,Summer,North,8,60,22,8.47,1.88,0.8183,46.0
Wheel Loader,966,SITE_032,Winter,South,2,78,16,8.77,3.51,0.7138,38.0
Excavator,320 GC,SITE_026,Monsoon,North,1,10,3,4.84,3.49,0.5812,24.0
Compact Track Loader,259D3,SITE_048,Summer,West,2,72,23,7.86,1.74,0.8191,34.0
Backhoe Loader,420,SITE_001,PostMonsoon,South,7,51,27,10.39,3.31,0.7586,33.0
Bulldozer,D8,SITE_040,Summer,East,8,80,15,8.37,3.39,0.7116,46.0
Compact Track Loader,259D3,SITE_022,Monsoon,South,11,8,33,4.46,2.86,0.6098,29.0
Excavator,320 GC,SITE_024,Summer,West,12,19,44,4.7,3.81,0.5523,54.0
Excavator,320 GC,SITE_016,PostMonsoon,North,12,79,26,6.82,2.14,0.7615,48.0
Excavator,336,SITE_035,PostMonsoon,West,6,89,15,8.46,3.74,0.6937,49.0
Bulldozer,D6,SITE_021,Summer,South,1,56,6,10.44,1.56,0.8697,39.0
Compact Track Loader,259D3,SITE_028,Monsoon,North,9,50,33,6.51,1.74,0.7894,32.0
Backhoe Loader,420,SITE_014,Summer,West,2,87,22,10.6,3.72,0.7404,34.0
Bulldozer,D8,SITE_014,Summer,East,6,44,19,7.05,3.51,0.6678,48.0
Wheel Loader,950 GC,SITE_031,PostMonsoon,West,11,19,40,5.69,2.4,0.7032,47.0
Excavator,336,SITE_042,Monsoon,West,9,46,31,6.43,2.07,0.7568,44.0
Wheel Loader,950 GC,SITE_012,Summer,North,10,53,40,9.77,3.96,0.7117,54.0
Backhoe Loader,420,SITE_007,Winter,East,8,77,25,6.97,1.79,0.7957,31.0
Bulldozer,D8,SITE_037,Monsoon,South,5,62,49,6.32,2.9,0.6859,47.0
Wheel Loader,950 GC,SITE_005,Summer,North,2,48,4,4.64,1.94,0.705,37.0
Wheel Loader,950 GC,SITE_001,Winter,West,11,85,12,4.59,2.23,0.6732,36.0
Wheel Loader,950 GC,SITE_023,PostMonsoon,East,1,9,16,4.14,3.22,0.563,40.0
Bulldozer,D8,SITE_012,Winter,North,5,39,15,5.98,1.06,0.85,37.0
Articulated Truck,745,SITE_044,Winter,East,12,23,30,5.2,3.15,0.6228,39.0
Backhoe Loader,420,SITE_049,Winter,North,2,71,38,8.57,3.83,0.6913,34.0
Articulated Truck,745,SITE_032,Winter,West,6,68,16,8.43,1.68,0.8338,33.0
Bulldozer,D6,SITE_025,Summer,East,9,41,19,8.83,2.3,0.7931,45.0
Bulldozer,D6,SITE_033,PostMonsoon,North,2,77,24,5.92,3.62,0.6206,41.0
Bulldozer,D6,SITE_026,Monsoon,East,2,44,22,8.25,1.19,0.874,30.0
Articulated Truck,745,SITE_034,Monsoon,South,2,70,47,9.47,2.14,0.8156,40.0
Excavator,336,SITE_005,Monsoon,East,11,75,49,7.68,3.3,0.6992,52.0
Bulldozer,D8,SITE_045,PostMonsoon,West,4,16,24,6.66,3.59,0.6499,48.0
Bulldozer,D8,SITE_021,Winter,East,7,52,29,5.32,2.01,0.7257,44.0
Excavator,320 GC,SITE_015,Summer,West,2,49,7,7.55,3.37,0.6917,44.0
Excavator,336,SITE_037,PostMonsoon,South,9,75,5,10.22,2.93,0.7775,53.0
Articulated Truck,745,SITE_026,PostMonsoon,East,1,51,15,10.77,1.86,0.8525,37.0
Articulated Truck,745,SITE_021,Summer,East,8,83,25,10.17,2.41,0.8085,38.0
Compact Track Loader,259D3,SITE_038,Monsoon,West,6,56,34,5.08,3.45,0.5953,31.0
Motor Grader,140,SITE_013,Winter,East,1,44,45,4.7,1.24,0.7913,42.0
Wheel Loader,950 GC,SITE_043,Summer,South,1,80,45,7.75,3.45,0.6923,53.0
Motor Grader,140,SITE_045,Winter,North,10,16,12,8.87,1.35,0.8683,29.0
Articulated Truck,745,SITE_028,PostMonsoon,West,11,12,10,10.9,2.64,0.8052,36.0
Wheel Loader,966,SITE_008,Monsoon,East,5,85,21,10.98,3.21,0.7737,37.0
Bulldozer,D6,SITE_039,Summer,North,6,60,33,5.52,2.16,0.7185,45.0
Excavator,336,SITE_016,Monsoon,East,3,85,35,7.8,1.53,0.836,48.0
Articulated Truck,745,SITE_029,Monsoon,East,9,24,18,8.38,2.8,0.7499,27.0
Bulldozer,D6,SITE_044,PostMonsoon,North,2,75,15,11.0,2.02,0.8451,35.0
Compact Track Loader,259D3,SITE_034,Summer,North,1,32,42,7.91,2.65,0.7489,43.0
Wheel Loader,966,SITE_045,Summer,South,3,45,46,8.16,2.91,0.7368,59.0
Bulldozer,D6,SITE_030,Monsoon,West,2,63,40,6.29,1.18,0.8416,40.0
Motor Grader,140,SITE_003,Winter,West,5,22,32,7.83,3.2,0.7097,36.0
Motor Grader,140,SITE_012,Winter,West,4,74,12,8.2,2.73,0.7502,28.0
Bulldozer,D6,SITE_006,PostMonsoon,West,1,48,4,10.77,3.77,0.7408,33.0
Backhoe Loader,420,SITE_036,PostMonsoon,North,5,73,46,4.42,3.16,0.5833,41.0
Wheel Loader,950 GC,SITE_012,PostMonsoon,East,12,33,13,4.9,3.63,0.5748,38.0
Compact Track Loader,259D3,SITE_009,Winter,North,4,63,36,8.2,2.82,0.7442,34.0
Bulldozer,D6,SITE_035,PostMonsoon,East,7,60,9,9.05,2.3,0.7973,38.0
Wheel Loader,950 GC,SITE_006,Summer,West,10,74,33,9.9,1.21,0.8914,52.0
Excavator,320 GC,SITE_018,Summer,West,6,77,11,4.0,3.24,0.5524,43.0
Articulated Truck,745,SITE_046,Winter,South,6,75,24,7.67,2.02,0.7915,34.0
Wheel Loader,950 GC,SITE_040,Winter,East,1,41,7,6.08,2.12,0.7417,30.0
Backhoe Loader,420,SITE_041,Summer,North,2,58,17,7.81,1.71,0.8203,33.0
Bulldozer,D8,SITE_030,Monsoon,North,7,56,20,4.94,3.4,0.5925,33.0
Wheel Loader,966,SITE_011,PostMonsoon,East,5,51,49,8.63,2.42,0.781,58.0
Compact Track Loader,259D3,SITE_001,Monsoon,North,7,67,19,10.55,3.88,0.7311,26.0
Compact Track Loader,259D3,SITE_034,Winter,West,1,13,9,6.94,2.7,0.7201,23.0
Excavator,320 GC,SITE_028,PostMonsoon,West,10,39,14,10.73,1.78,0.8579,44.0
Bulldozer,D6,SITE_026,PostMonsoon,North,7,88,23,10.16,3.8,0.7276,39.0
Backhoe Loader,420,SITE_047,PostMonsoon,West,1,20,3,9.25,1.35,0.8725,27.0
Wheel Loader,966,SITE_031,PostMonsoon,North,9,53,33,9.92,3.41,0.7442,52.0
Excavator,336,SITE_034,Summer,West,11,83,36,10.46,3.69,0.7391,66.0
Backhoe Loader,420,SITE_028,Monsoon,North,8,35,31,9.9,1.21,0.891,31.0
Excavator,336,SITE_016,Summer,North,9,55,49,6.98,1.66,0.8078,70.0
Bulldozer,D8,SITE_010,Monsoon,North,5,86,7,9.35,2.08,0.8181,29.0
Backhoe Loader,420,SITE_014,Summer,East,1,31,36,4.37,2.86,0.6046,40.0
Wheel Loader,966,SITE_028,Summer,South,8,69,2,10.28,2.53,0.8028,44.0
Compact Track Loader,259D3,SITE_021,Monsoon,East,7,27,35,10.05,1.68,0.857,33.0
Compact Track Loader,259D3,SITE_030,PostMonsoon,West,8,65,35,7.58,1.86,0.8026,39.0
Bulldozer,D6,SITE_046,PostMonsoon,East,9,11,4,7.39,3.48,0.6801,30.0
Bulldozer,D8,SITE_019,PostMonsoon,East,12,11,41,9.03,2.14,0.8084,55.0
Motor Grader,140,SITE_040,Summer,North,8,29,42,8.24,2.84,0.7437,46.0
Excavator,320 GC,SITE_019,Winter,West,12,16,28,7.37,2.75,0.728,42.0
Articulated Truck,745,SITE_006,Monsoon,East,9,83,23,5.97,3.47,0.6322,26.0
Wheel Loader,966,SITE_016,Summer,South,5,42,17,5.29,2.85,0.6498,50.0
Motor Grader,140,SITE_018,Winter,West,3,63,19,4.06,2.7,0.6006,28.0
Wheel Loader,950 GC,SITE_010,Summer,North,4,47,35,8.8,1.39,0.8639,53.0
Compact Track Loader,259D3,SITE_026,PostMonsoon,South,5,44,2,9.28,3.3,0.7378,26.0
Wheel Loader,950 GC,SITE_012,Summer,West,11,85,33,5.95,3.7,0.6166,49.0
Bulldozer,D6,SITE_022,Winter,East,9,62,44,7.06,2.81,0.7149,45.0
Wheel Loader,966,SITE_011,Monsoon,West,1,62,45,5.6,1.14,0.8311,47.0
Bulldozer,D6,SITE_007,PostMonsoon,East,3,34,49,9.99,2.2,0.8193,50.0
Bulldozer,D6,SITE_002,Winter,West,8,71,2,9.75,1.3,0.8825,30.0
Bulldozer,D6,SITE_042,PostMonsoon,North,5,53,14,8.32,3.07,0.7305,36.0
Bulldozer,D8,SITE_025,Summer,East,7,85,13,9.57,1.28,0.882,45.0
Wheel Loader,950 GC,SITE_044,Summer,East,7,86,3,5.81,1.94,0.7502,38.0
Wheel Loader,966,SITE_049,Winter,South,6,38,6,5.66,3.4,0.6248,37.0
Wheel Loader,950 GC,SITE_033,Winter,South,4,49,49,10.9,2.67,0.8031,50.0
Bulldozer,D6,SITE_003,Monsoon,East,7,65,18,7.49,3.49,0.6824,29.0
Motor Grader,140,SITE_049,Monsoon,East,8,18,16,6.73,3.82,0.6378,28.0
Wheel Loader,950 GC,SITE_020,PostMonsoon,West,10,62,12,5.83,1.33,0.8143,39.0
Backhoe Loader,420,SITE_032,PostMonsoon,West,12,82,31,10.17,3.97,0.7193,37.0
Bulldozer,D6,SITE_050,Summer,North,3,66,13,8.36,3.73,0.6916,42.0
Bulldozer,D8,SITE_008,PostMonsoon,West,1,26,45,10.7,3.07,0.7769,53.0
Bulldozer,D6,SITE_010,Monsoon,North,10,15,31,6.91,1.5,0.8212,38.0
Compact Track Loader,259D3,SITE_017,Winter,South,7,65,14,5.42,3.84,0.5854,25.0
Articulated Truck,745,SITE_007,Summer,South,3,88,32,10.84,1.49,0.8789,45.0
Excavator,320 GC,SITE_020,Monsoon,East,2,76,16,4.55,3.27,0.5814,31.0
Motor Grader,140,SITE_037,Winter,West,10,18,22,5.44,1.4,0.7951,33.0
Motor Grader,140,SITE_026,PostMonsoon,South,4,47,44,6.93,2.72,0.7183,44.0
Articulated Truck,745,SITE_005,Summer,North,6,84,16,8.96,1.44,0.8613,39.0
Excavator,320 GC,SITE_011,Winter,North,9,57,18,5.4,3.54,0.6039,37.0
Excavator,320 GC,SITE_020,PostMonsoon,South,10,8,41,9.44,1.99,0.826,54.0
Excavator,320 GC,SITE_047,Summer,North,6,20,42,9.87,1.59,0.8613,55.0
Articulated Truck,745,SITE_016,PostMonsoon,West,1,34,8,10.55,3.25,0.7647,35.0
Bulldozer,D6,SITE_036,PostMonsoon,West,3,60,24,7.8,1.31,0.8557,41.0
Excavator,336,SITE_009,Summer,West,3,86,49,10.5,1.77,0.8558,72.0
Excavator,320 GC,SITE_008,Monsoon,North,4,45,21,9.96,3.28,0.7526,35.0
Articulated Truck,745,SITE_022,Monsoon,North,10,70,34,7.78,1.18,0.8683,38.0
Wheel Loader,950 GC,SITE_021,Winter,North,3,22,29,6.09,2.71,0.6919,40.0
Backhoe Loader,420,SITE_004,Summer,East,8,27,12,8.55,2.23,0.7931,36.0
Backhoe Loader,420,SITE_045,Monsoon,South,3,75,39,9.36,3.57,0.7239,31.0
Motor Grader,140,SITE_018,Summer,West,5,9,42,9.88,1.68,0.8544,49.0
Wheel Loader,966,SITE_020,Winter,East,9,34,36,8.42,3.98,0.679,47.0
Backhoe Loader,420,SITE_019,Monsoon,South,10,73,15,7.47,2.46,0.7523,26.0
Wheel Loader,966,SITE_046,PostMonsoon,North,5,60,13,6.06,3.03,0.6668,43.0
Articulated Truck,745,SITE_015,Summer,North,3,45,36,8.07,2.44,0.7676,49.0
Backhoe Loader,420,SITE_005,Monsoon,West,12,38,9,6.23,2.66,0.7009,23.0
Motor Grader,140,SITE_019,Summer,West,5,76,7,8.85,3.7,0.7054,30.0
Compact Track Loader,259D3,SITE_042,Summer,West,4,7,10,5.06,2.97,0.6305,28.0
