equipment_type,model,equipment_age,engine_hours_per_day,idle_hours_per_day,fuel_level,engine_temperature,battery_voltage,days_since_last_service,fault_code_count,total_operating_hours,target_maintenance_probability,target_days_until_service,target_confidence
Articulated Truck,745,1,2.27,4.7,39.48,95.65,14.22,276,6,8117.42,0.5365,40.2,0.9669
Bulldozer,D6,11,9.11,0.62,42.42,83.91,13.57,119,5,9219.29,0.4631,50.2,0.99
Backhoe Loader,420,2,13.81,5.81,79.77,81.49,14.03,257,6,5059.09,0.5316,41.6,0.968
Wheel Loader,966,8,10.41,4.13,16.23,77.94,12.46,203,6,1706.12,0.5727,37.4,0.9513
Bulldozer,D8,8,5.41,4.72,63.99,88.64,14.14,260,0,7974.49,0.4197,53.3,0.9488
Excavator,336,2,2.96,2.14,97.64,85.78,14.45,183,5,10546.02,0.4435,49.8,0.9845
Compact Track Loader,259D3,7,7.44,2.19,99.23,89.17,13.85,11,5,7152.86,0.2806,63.2,0.8684
Backhoe Loader,420,1,8.59,0.69,56.37,94.75,12.53,26,0,7661.35,0.049,84.3,0.7143
Backhoe Loader,420,2,2.47,5.57,46.4,86.36,14.06,191,4,3082.3,0.4113,51.4,0.9545
Motor Grader,140,10,4.64,4.57,63.33,83.03,13.1,167,2,11548.25,0.3852,54.9,0.9488
Bulldozer,D6,9,3.78,1.87,81.18,97.66,12.55,241,2,3481.13,0.4811,47.2,0.99
Bulldozer,D6,7,8.8,4.14,67.78,77.01,12.46,208,4,4419.29,0.4417,47.9,0.9653
Wheel Loader,966,9,5.12,1.12,44.87,86.47,14.39,171,5,7023.1,0.501,46.1,0.99
Motor Grader,140,4,12.34,2.87,39.65,82.62,13.96,266,7,10911.47,0.6139,35.7,0.9351
Backhoe Loader,420,3,12.56,3.21,61.12,81.62,12.56,201,7,8080.92,0.5541,38.0,0.9695
Bulldozer,D6,1,4.27,1.48,18.7,91.94,13.26,160,2,3746.62,0.2877,64.3,0.8794
Motor Grader,140,3,4.84,5.12,27.98,73.8,14.13,171,2,10973.61,0.3023,62.3,0.8774
Articulated Truck,745,6,3.12,1.16,69.54,105.26,12.45,72,5,7280.16,0.448,48.1,0.959
Motor Grader,140,5,11.38,4.28,16.02,93.76,13.07,54,0,8280.01,0.159,75.9,0.7931
Bulldozer,D8,4,6.53,1.5,79.03,90.54,14.14,121,5,2048.7,0.384,54.9,0.9179
Bulldozer,D6,3,13.95,0.72,68.6,96.18,14.15,23,0,1442.91,0.0893,82.9,0.738
Wheel Loader,950 GC,8,7.82,3.66,17.74,91.74,14.34,85,5,7800.02,0.3582,58.0,0.9025
Motor Grader,140,1,8.04,2.32,50.08,79.21,13.87,94,5,9046.81,0.2636,64.4,0.8491
Bulldozer,D8,5,7.05,2.31,82.11,107.75,13.62,201,6,1898.8,0.6396,33.4,0.9114
Wheel Loader,966,4,7.01,3.78,38.94,73.22,13.31,209,3,9157.07,0.4206,54.0,0.9528
Bulldozer,D8,1,9.81,0.86,24.82,97.96,13.13,9,4,8266.62,0.2066,71.0,0.8134
Excavator,320 GC,9,7.84,0.87,16.54,82.9,11.85,164,5,7561.33,0.5084,42.3,0.9762
Wheel Loader,950 GC,10,5.29,4.91,69.65,93.8,12.14,188,7,1653.71,0.5912,37.5,0.9383
Bulldozer,D8,9,3.3,4.9,69.98,92.17,13.82,16,4,9701.12,0.3038,63.6,0.8724
Bulldozer,D8,9,6.83,0.67,97.18,111.92,11.95,190,4,10595.88,0.6511,32.0,0.901
Bulldozer,D6,9,2.24,1.21,47.34,80.62,12.26,191,1,6826.55,0.3788,57.5,0.9316
Motor Grader,140,3,3.59,3.36,40.72,83.26,14.3,246,6,10321.25,0.5437,42.6,0.9729
Motor Grader,140,9,5.9,3.2,79.15,73.75,13.57,252,4,2853.47,0.546,42.9,0.9725
Backhoe Loader,420,7,4.95,5.2,32.53,76.6,11.99,211,2,7720.68,0.4148,51.9,0.9385
Wheel Loader,950 GC,8,4.8,5.7,38.43,96.13,13.75,97,1,6679.45,0.2764,64.7,0.8734
Wheel Loader,966,10,8.75,3.91,82.19,85.68,13.21,114,1,10320.72,0.3111,62.8,0.8901
Articulated Truck,745,7,12.66,3.13,95.44,90.32,14.42,236,1,2883.95,0.3927,55.1,0.9333
Motor Grader,140,2,8.99,2.59,37.16,75.99,12.26,174,1,7635.75,0.2981,62.1,0.8497
Articulated Truck,745,2,4.33,1.57,11.18,105.51,12.73,187,7,6127.53,0.5895,35.5,0.9491
Bulldozer,D8,5,6.88,1.62,86.4,106.88,12.09,274,0,10945.96,0.5096,42.8,0.99
Articulated Truck,745,2,5.45,4.27,58.09,104.99,11.53,297,0,3593.99,0.4804,45.2,0.99
Excavator,320 GC,8,13.08,4.95,93.93,99.53,13.29,179,6,4220.22,0.6113,37.1,0.9191
Articulated Truck,745,2,4.89,4.24,73.08,93.7,13.31,218,7,7280.15,0.5655,39.9,0.9504
Articulated Truck,745,7,3.82,3.36,98.56,85.01,12.48,242,1,3624.73,0.4004,53.6,0.9223
Wheel Loader,966,5,12.71,2.34,89.76,73.64,12.67,96,4,5071.8,0.3362,62.1,0.9066
Bulldozer,D6,7,13.49,1.55,90.46,85.3,12.35,157,3,6183.83,0.3815,55.5,0.926
Motor Grader,140,2,3.79,2.27,10.36,78.53,13.61,248,3,565.2,0.4081,57.0,0.938
Bulldozer,D8,3,10.04,4.72,68.31,103.42,11.52,81,7,3933.05,0.466,49.6,0.99
Excavator,320 GC,5,11.39,3.87,80.01,72.07,11.97,139,0,7424.56,0.1792,75.4,0.8113
Articulated Truck,745,7,2.2,1.07,61.61,101.14,12.03,84,4,3207.69,0.3874,55.4,0.9198
Excavator,320 GC,10,9.68,2.81,52.09,83.23,12.84,255,2,9123.12,0.5023,43.9,0.99
Excavator,336,6,13.51,4.12,13.49,84.43,13.31,81,5,9108.44,0.3535,57.4,0.9129
Wheel Loader,950 GC,8,6.49,5.15,37.76,99.81,13.71,172,3,9489.85,0.4193,53.6,0.9528
Excavator,336,4,4.96,5.79,67.79,82.54,14.33,289,6,2167.98,0.6001,36.1,0.9386
Backhoe Loader,420,1,5.69,5.88,75.22,77.54,11.87,123,7,3773.97,0.3834,53.7,0.9395
Wheel Loader,950 GC,11,13.7,5.41,39.84,96.29,12.05,213,3,2717.83,0.5076,42.3,0.99
Wheel Loader,950 GC,10,11.91,1.34,97.48,92.08,12.83,12,2,9932.04,0.2222,72.4,0.8549
Motor Grader,140,7,13.08,1.06,19.12,96.05,12.45,18,5,9620.4,0.3117,62.7,0.9006
Excavator,320 GC,10,3.13,1.4,38.66,78.95,12.68,65,0,5076.0,0.2004,75.8,0.8259
Bulldozer,D8,5,8.78,2.33,90.24,95.24,12.72,78,6,10799.34,0.3552,56.3,0.9204
Excavator,320 GC,11,5.87,0.54,63.75,86.17,12.43,66,6,5075.98,0.4363,49.9,0.9699
Compact Track Loader,259D3,11,12.41,0.54,70.87,96.31,12.85,180,0,5727.86,0.334,62.8,0.9155
Bulldozer,D8,4,7.11,1.68,63.67,104.87,11.7,268,4,9467.81,0.5892,37.6,0.9313
Excavator,336,2,4.06,1.02,77.73,107.83,14.11,254,7,7962.17,0.7034,24.6,0.8804
Wheel Loader,950 GC,8,5.22,1.17,35.03,82.3,11.52,69,5,9793.29,0.3642,59.4,0.9231
Articulated Truck,745,11,3.16,1.02,18.64,97.22,13.7,278,0,11905.61,0.5134,43.7,0.99
Excavator,320 GC,4,13.01,2.18,59.33,76.13,13.28,5,0,8463.92,0.0757,83.7,0.7384
Bulldozer,D6,4,13.03,5.34,46.89,86.11,12.48,208,2,1140.21,0.3813,56.6,0.9388
Bulldozer,D6,4,2.44,1.13,72.66,96.08,13.23,51,4,4421.26,0.2906,65.4,0.8702
Wheel Loader,950 GC,11,3.84,5.76,33.8,100.91,14.33,249,3,6211.73,0.6268,34.4,0.9146
Excavator,336,2,10.93,4.46,10.11,87.99,11.96,82,7,2296.37,0.3882,56.1,0.9193
Bulldozer,D8,6,2.3,5.78,24.21,95.25,12.24,243,0,8886.3,0.3488,59.3,0.8951
Bulldozer,D8,1,12.6,2.36,23.08,107.18,12.57,50,7,3738.88,0.4702,47.3,0.9734
Backhoe Loader,420,4,7.92,2.79,12.32,99.08,12.87,283,3,3028.93,0.5865,36.7,0.9703
Motor Grader,140,1,4.38,1.79,66.11,89.73,13.91,290,1,6155.06,0.3841,57.1,0.9368
Wheel Loader,966,9,4.34,2.08,82.49,75.7,13.71,71,7,8520.29,0.4176,51.4,0.9389
Excavator,320 GC,3,8.93,2.97,82.52,93.14,13.36,201,5,5847.79,0.4738,47.3,0.981
Motor Grader,140,7,7.52,0.88,79.27,85.29,13.21,118,0,5041.05,0.2016,72.4,0.8374
Compact Track Loader,259D3,6,9.85,5.32,76.22,101.68,11.62,6,6,4456.38,0.3852,53.8,0.9222
Backhoe Loader,420,3,6.49,4.71,92.11,93.12,12.02,294,4,9500.38,0.5397,41.1,0.9895
Articulated Truck,745,2,3.8,5.75,73.36,86.79,11.9,212,0,11931.58,0.305,64.5,0.8652
Excavator,336,10,12.08,4.41,10.45,93.34,13.29,106,3,2385.98,0.3922,52.9,0.9424
Articulated Truck,745,2,3.02,2.56,89.36,100.76,12.26,267,7,11362.46,0.6387,33.6,0.9047
Compact Track Loader,259D3,1,10.19,3.06,79.34,82.42,12.97,178,0,10414.62,0.2108,70.8,0.8277
Backhoe Loader,420,7,2.3,4.67,34.86,101.81,12.64,164,0,6798.57,0.3497,57.5,0.9221
Articulated Truck,745,10,7.64,2.21,35.26,94.89,13.97,60,4,11491.69,0.3045,59.4,0.8871
Bulldozer,D8,11,9.69,2.72,72.2,94.68,13.84,111,5,4398.14,0.4957,45.9,0.99
Motor Grader,140,1,7.12,2.31,22.83,89.56,13.43,183,2,11981.6,0.3078,58.0,0.8566
Backhoe Loader,420,10,6.85,4.03,65.66,97.97,12.2,31,7,6580.51,0.4087,51.8,0.95
Bulldozer,D8,4,10.3,2.52,17.59,88.88,13.45,42,4,1418.83,0.2271,68.0,0.8154
Excavator,320 GC,8,2.87,2.54,14.52,87.49,12.63,55,6,6336.86,0.3548,59.2,0.9052
Bulldozer,D6,11,2.1,3.38,79.01,73.55,14.43,231,1,4680.19,0.4323,49.8,0.9627
Wheel Loader,966,8,5.59,3.18,70.14,97.98,12.25,226,1,8149.25,0.3785,57.3,0.9043
Wheel Loader,950 GC,2,3.75,2.74,97.59,87.71,13.21,188,4,8821.99,0.3991,55.2,0.9494
Excavator,320 GC,9,10.16,5.95,88.69,86.89,13.34,247,6,2477.07,0.5958,36.6,0.9358
Wheel Loader,950 GC,8,13.01,3.4,35.59,84.24,12.59,102,4,1659.94,0.3339,59.4,0.8981
Excavator,320 GC,5,8.16,3.02,79.27,76.79,11.61,260,6,5369.81,0.5942,36.2,0.9488
Bulldozer,D6,5,8.43,2.09,94.14,79.16,14.34,260,2,10825.76,0.4565,48.8,0.9729
Excavator,320 GC,10,10.18,3.61,20.4,81.75,13.45,72,1,2452.89,0.2629,65.8,0.857
Bulldozer,D6,1,2.97,1.07,26.36,89.13,13.96,211,6,1564.5,0.4767,48.0,0.99
Backhoe Loader,420,5,12.55,1.75,13.27,92.55,12.16,82,7,4812.0,0.422,53.1,0.951
Wheel Loader,950 GC,4,2.27,5.86,26.3,97.82,13.03,216,4,3518.28,0.4471,49.8,0.9601
Wheel Loader,950 GC,1,3.54,3.77,25.48,86.49,13.52,23,7,5615.49,0.2963,61.6,0.8761
Articulated Truck,745,3,3.99,1.05,25.6,110.36,12.55,66,2,4712.83,0.3342,58.6,0.9076
Bulldozer,D6,9,9.76,2.28,18.68,90.59,12.32,47,6,2458.46,0.3785,55.9,0.9272
Articulated Truck,745,6,12.64,2.26,58.87,103.09,14.1,70,7,7126.08,0.5163,40.7,0.99
Articulated Truck,745,8,9.84,5.25,13.85,100.84,13.48,188,4,11309.45,0.5224,45.1,0.9873
Wheel Loader,950 GC,5,3.61,2.83,78.19,80.66,12.71,272,6,4806.94,0.6063,34.8,0.9411
Articulated Truck,745,10,9.45,1.68,59.78,87.66,13.14,83,0,4443.23,0.224,67.3,0.8333
Bulldozer,D6,3,11.56,5.06,83.99,93.81,11.8,134,1,7459.7,0.2256,70.0,0.8466
Articulated Truck,745,8,10.47,4.9,57.59,99.96,11.91,135,4,1337.35,0.4315,50.2,0.961
Motor Grader,140,1,12.99,2.4,44.99,90.2,14.01,123,3,1383.69,0.2307,69.8,0.8355
Articulated Truck,745,1,9.56,0.92,94.21,97.79,11.87,16,3,10871.69,0.196,72.8,0.8099
Excavator,320 GC,6,5.18,4.3,28.37,88.07,14.09,169,6,1865.5,0.5096,44.4,0.99
Wheel Loader,950 GC,4,11.4,3.1,31.56,89.14,13.11,130,4,10252.83,0.3523,59.3,0.903
Compact Track Loader,259D3,8,8.21,5.39,89.67,93.21,11.9,37,7,10438.8,0.4289,52.6,0.9644
Compact Track Loader,259D3,7,9.88,0.89,73.14,99.44,11.94,103,6,6923.15,0.4107,52.5,0.9621
Excavator,336,8,11.17,0.68,89.0,96.77,13.51,295,4,8207.8,0.6025,36.8,0.9308
Excavator,320 GC,4,13.05,4.3,23.16,99.28,14.39,142,6,4413.24,0.5043,48.1,0.99
Backhoe Loader,420,5,9.1,2.71,29.55,89.32,13.38,213,7,11114.26,0.5749,38.5,0.9566
Backhoe Loader,420,1,13.36,4.79,87.43,92.69,11.81,272,0,1018.82,0.3521,59.7,0.9018
Articulated Truck,745,1,7.52,5.86,47.71,85.58,14.24,152,2,10167.7,0.2658,64.0,0.8502
Bulldozer,D8,6,8.01,1.35,13.89,94.99,12.94,38,1,2461.9,0.1206,81.6,0.7561
Wheel Loader,966,8,7.31,2.19,79.78,79.31,13.46,264,2,10945.28,0.4634,47.8,0.9747
Wheel Loader,966,2,3.88,5.81,78.92,88.15,14.01,267,4,544.23,0.4886,46.2,0.99
Excavator,320 GC,7,12.14,1.12,77.57,101.47,13.43,46,1,6806.81,0.2488,67.4,0.8455
Wheel Loader,966,1,3.72,5.52,55.96,100.2,14.29,25,5,4679.57,0.2742,63.0,0.8562
Backhoe Loader,420,1,2.42,1.37,52.77,89.76,11.53,158,2,1679.14,0.3011,60.9,0.8786
Excavator,336,10,9.39,4.8,47.79,107.74,11.53,67,6,8618.05,0.5478,40.9,0.9709
Compact Track Loader,259D3,4,12.44,2.0,93.99,77.06,12.38,117,5,7330.29,0.4018,52.8,0.9295
Wheel Loader,966,10,9.63,2.28,95.01,72.21,14.23,278,0,6344.82,0.4318,48.3,0.9685
Motor Grader,140,4,11.48,1.36,30.81,91.52,12.96,238,2,10624.2,0.379,55.2,0.9219
Compact Track Loader,259D3,4,7.02,0.93,73.85,75.32,14.21,77,1,2443.03,0.1802,73.9,0.8104
Bulldozer,D8,9,13.35,1.7,46.12,102.86,13.7,272,7,11102.21,0.803,17.9,0.8252
Wheel Loader,966,11,7.88,1.73,37.79,80.74,12.19,49,2,2683.12,0.2806,64.2,0.8736
Backhoe Loader,420,4,6.72,2.72,23.89,76.95,13.99,295,1,5260.49,0.4321,50.7,0.9611
Bulldozer,D8,11,11.81,4.89,81.06,99.99,12.44,90,2,7502.8,0.3605,54.3,0.9153
Excavator,336,3,10.93,2.4,26.74,93.71,11.96,12,4,8755.9,0.2064,72.4,0.8276
Wheel Loader,966,3,3.29,1.04,84.05,74.58,12.32,100,2,6779.59,0.2187,69.2,0.832
Excavator,336,4,7.44,2.47,15.23,106.07,12.98,66,4,9232.49,0.4116,53.2,0.9642
Bulldozer,D8,9,8.24,5.17,69.46,100.15,13.38,247,7,7766.92,0.7251,26.2,0.8773
Excavator,336,11,11.75,2.42,83.74,106.34,13.67,251,3,7068.09,0.6672,30.9,0.9
Wheel Loader,950 GC,11,8.58,2.61,70.23,96.56,12.31,31,1,4433.22,0.2334,70.5,0.8295
Backhoe Loader,420,5,5.92,5.82,48.35,99.81,13.71,115,1,2383.86,0.2467,68.7,0.8448
Motor Grader,140,8,3.36,1.89,77.14,79.79,12.61,292,3,10252.41,0.5826,38.2,0.955
Wheel Loader,966,8,2.52,5.48,17.68,98.71,12.22,34,6,5094.24,0.3896,52.8,0.9431
Bulldozer,D6,8,2.55,4.33,49.42,84.29,12.11,196,1,2562.7,0.3922,55.3,0.9282
Bulldozer,D8,2,10.21,4.87,79.62,98.98,12.97,136,2,9897.73,0.2688,65.7,0.8493
Bulldozer,D8,11,7.96,4.76,93.53,94.1,13.29,136,7,1446.88,0.5734,38.0,0.9312
Wheel Loader,966,8,5.24,5.31,33.04,101.09,13.88,279,4,1859.04,0.6406,32.5,0.9126
Bulldozer,D6,11,9.05,1.07,33.5,92.06,13.34,19,0,1875.05,0.1465,75.5,0.7851
Bulldozer,D6,11,4.33,0.84,77.3,86.52,14.3,179,5,10701.41,0.5231,43.6,0.9786
Excavator,320 GC,6,12.12,2.41,30.56,93.49,13.48,266,0,3634.05,0.3783,56.2,0.9314
Wheel Loader,950 GC,1,8.37,1.01,16.97,76.65,11.87,210,6,2593.3,0.4737,48.4,0.99
Wheel Loader,966,3,13.49,1.38,68.83,75.52,14.09,105,3,9717.38,0.3216,61.2,0.8845
Excavator,320 GC,7,2.66,1.18,46.51,88.21,12.21,278,6,10904.45,0.6542,31.8,0.9031
Bulldozer,D6,8,4.82,0.82,88.52,100.62,13.68,289,0,9294.14,0.4982,46.5,0.99
Motor Grader,140,4,13.43,2.16,14.63,75.5,13.49,184,4,6564.47,0.4192,53.0,0.9567
Excavator,320 GC,4,10.55,5.68,58.09,100.97,14.46,123,2,1493.75,0.3128,60.8,0.876
Backhoe Loader,420,7,12.19,2.97,30.61,84.59,11.69,268,6,4408.8,0.6065,33.2,0.9383
Wheel Loader,950 GC,7,8.34,0.69,41.61,76.67,12.67,123,5,6047.52,0.3752,56.6,0.9465
Wheel Loader,966,4,3.12,1.29,62.38,93.31,13.13,70,2,6354.71,0.1936,69.6,0.8215
Bulldozer,D6,5,5.67,5.95,44.68,86.6,11.85,170,3,9744.83,0.3857,55.1,0.9491
Bulldozer,D8,6,13.38,5.71,54.24,96.2,13.99,184,4,11761.32,0.4725,47.6,0.9805
Backhoe Loader,420,7,10.26,3.11,10.08,77.86,11.98,225,7,11299.96,0.6354,31.8,0.925
Excavator,336,5,7.69,2.22,17.89,107.46,12.56,27,3,4380.11,0.3455,57.9,0.8977
Articulated Truck,745,10,5.12,2.85,55.26,99.75,13.39,298,7,2602.8,0.8018,19.8,0.804
Backhoe Loader,420,8,4.29,5.74,30.55,100.58,14.17,10,5,9186.09,0.3538,59.2,0.9086
Wheel Loader,950 GC,2,5.29,2.92,77.25,100.38,11.72,138,4,1394.58,0.3652,58.9,0.9232
Wheel Loader,966,3,3.88,1.55,39.51,89.04,12.4,92,3,2598.02,0.2451,68.2,0.8354
Motor Grader,140,2,4.4,4.34,50.3,77.6,12.58,208,3,4725.98,0.3878,52.8,0.9457
Excavator,320 GC,7,6.04,1.51,78.03,84.29,11.54,33,4,2937.16,0.2744,66.4,0.8553
Motor Grader,140,5,6.74,1.17,74.34,80.2,12.22,188,5,506.12,0.4563,49.5,0.9875
Excavator,320 GC,2,3.4,4.7,88.28,91.64,12.07,73,0,2250.57,0.1228,78.9,0.7686
Motor Grader,140,6,3.16,4.99,64.37,88.66,14.38,103,6,4333.17,0.4661,46.8,0.9709
Compact Track Loader,259D3,8,9.56,2.68,25.21,91.1,13.46,181,3,5194.18,0.441,50.0,0.9503
Articulated Truck,745,1,6.2,1.92,28.6,99.07,12.23,266,0,5646.41,0.3341,59.2,0.8929
Backhoe Loader,420,3,11.24,3.77,48.15,88.14,14.33,287,2,9210.87,0.42,52.2,0.9481
Compact Track Loader,259D3,11,10.66,4.18,44.88,94.48,12.65,117,2,3384.5,0.3661,57.6,0.9133
Bulldozer,D8,2,4.86,3.58,99.99,109.8,14.05,288,5,11591.02,0.6918,26.6,0.8752
Wheel Loader,950 GC,8,4.1,5.63,38.55,95.16,14.11,93,2,2951.73,0.2629,66.5,0.8631
Bulldozer,D8,7,4.34,3.03,11.21,84.15,13.15,70,6,6088.65,0.3753,58.2,0.9185
Compact Track Loader,259D3,5,9.86,5.38,88.91,78.46,13.47,272,3,8463.28,0.4835,45.4,0.9823
Bulldozer,D8,2,7.91,2.72,49.67,107.13,13.67,117,2,6799.79,0.3489,56.1,0.906
Bulldozer,D6,7,11.47,4.43,89.06,93.67,12.4,26,7,3791.58,0.3871,53.4,0.9431
Motor Grader,140,8,7.14,1.98,20.23,77.13,13.83,46,5,6322.64,0.3322,61.3,0.8984
Backhoe Loader,420,11,5.35,4.54,84.1,91.67,12.22,144,7,5849.67,0.5546,41.2,0.9603
Wheel Loader,950 GC,3,12.13,4.47,44.02,92.73,13.53,132,2,10139.06,0.2355,71.3,0.8314
Compact Track Loader,259D3,5,5.26,1.27,61.92,101.49,12.04,106,4,2977.53,0.4366,47.5,0.9831
Bulldozer,D6,3,9.28,3.52,85.24,92.77,13.79,74,5,6807.27,0.3246,59.5,0.8918
Backhoe Loader,420,5,6.36,2.92,83.57,82.88,11.86,62,1,9399.44,0.1771,74.6,0.8079
Excavator,320 GC,11,5.01,4.08,90.39,77.18,12.65,279,7,7004.38,0.7334,22.7,0.8626
Bulldozer,D8,6,7.53,5.8,14.65,89.94,14.22,7,3,8924.92,0.1806,71.3,0.8067
Bulldozer,D6,5,4.77,3.56,47.14,94.64,13.36,27,3,7775.71,0.2236,69.0,0.8462
Wheel Loader,950 GC,10,8.93,4.8,10.01,96.9,11.61,114,5,4750.43,0.4396,48.5,0.9698
Bulldozer,D6,9,3.0,4.06,63.05,97.84,14.06,196,7,8405.63,0.6444,32.0,0.9114
Wheel Loader,966,11,10.26,5.68,68.55,91.04,12.88,27,6,4736.71,0.3823,56.5,0.9393
Excavator,320 GC,10,7.07,0.54,29.27,85.42,13.71,253,6,9589.75,0.6396,32.9,0.9159
Motor Grader,140,2,3.59,2.33,19.54,88.8,14.24,188,4,2791.94,0.3914,56.9,0.9467
Articulated Truck,745,4,4.37,5.84,74.01,101.69,13.72,176,5,10556.38,0.5156,43.2,0.9826
Compact Track Loader,259D3,2,2.38,3.82,75.85,88.96,12.53,259,4,3190.72,0.4665,47.3,0.9736
Backhoe Loader,420,8,7.7,4.05,42.01,82.23,14.44,180,0,715.92,0.3349,61.8,0.8987
Wheel Loader,966,3,3.78,5.03,81.84,86.56,13.66,99,4,3089.93,0.274,64.9,0.8692
Bulldozer,D8,11,13.03,0.69,77.26,111.15,12.12,202,0,3258.24,0.5533,40.9,0.9627
Motor Grader,140,2,12.01,1.28,42.42,86.84,11.76,142,6,6932.51,0.4066,51.7,0.9439
Excavator,336,3,2.21,0.84,44.74,106.96,11.93,294,2,8650.14,0.5896,38.0,0.9601
Wheel Loader,950 GC,11,5.52,3.77,24.9,99.92,13.33,165,2,8887.97,0.4531,48.3,0.9668
Wheel Loader,950 GC,9,13.88,3.65,31.92,73.71,12.9,212,2,5192.55,0.432,54.5,0.9603
Excavator,320 GC,11,2.01,4.24,25.88,84.81,12.38,239,6,9558.67,0.6494,31.8,0.8991
Wheel Loader,966,5,9.84,3.86,50.5,79.67,12.67,183,0,4673.04,0.262,65.2,0.8809
Bulldozer,D8,10,10.72,4.74,37.79,99.92,11.71,28,3,564.46,0.3346,58.7,0.9093
Motor Grader,140,7,7.08,1.07,40.37,78.28,14.34,240,6,5857.94,0.5725,35.6,0.9459
Wheel Loader,950 GC,8,3.49,3.83,64.9,87.74,13.82,190,4,1761.77,0.4919,46.0,0.99
Motor Grader,140,4,2.4,5.67,47.12,91.15,12.66,83,4,4108.75,0.3058,61.5,0.8995
Excavator,336,11,4.35,3.21,92.69,111.47,14.4,131,5,972.48,0.6426,32.9,0.9251
Excavator,336,9,8.65,0.88,71.49,93.63,13.22,148,6,8461.1,0.5324,42.0,0.99
Motor Grader,140,6,11.71,2.74,37.21,101.11,13.36,252,2,9135.19,0.4913,42.4,0.9772
Bulldozer,D8,8,6.02,5.26,31.82,96.5,12.31,67,7,10846.45,0.443,50.8,0.9664
Bulldozer,D8,8,8.7,3.42,55.95,95.85,14.25,256,2,7555.52,0.4822,49.3,0.99
Backhoe Loader,420,7,7.82,4.0,96.35,78.89,12.96,273,1,6417.04,0.4255,53.2,0.9595
Bulldozer,D6,10,6.7,3.1,16.14,87.5,14.24,128,7,2301.15,0.5434,40.8,0.9837
Articulated Truck,745,5,8.43,2.59,75.88,108.71,11.92,117,7,11948.68,0.6033,38.4,0.9431
Motor Grader,140,5,8.27,1.67,80.49,92.39,14.11,115,5,5797.27,0.4125,53.3,0.9579
Excavator,336,2,3.14,2.46,61.66,111.46,14.47,103,7,10561.6,0.5948,37.5,0.9504
Backhoe Loader,420,9,13.52,1.91,63.77,92.59,12.61,41,3,11667.49,0.2852,63.8,0.8726
Bulldozer,D8,3,3.33,2.74,38.95,105.45,14.24,182,0,11407.43,0.3876,54.8,0.9183
Backhoe Loader,420,10,11.24,2.19,76.72,73.1,11.61,161,5,521.44,0.4999,45.0,0.99
Bulldozer,D8,10,7.41,5.15,83.31,110.72,11.82,292,3,11623.82,0.775,21.5,0.8192
Excavator,336,7,5.94,3.62,72.04,96.92,13.99,142,6,5635.47,0.5141,44.7,0.9817
Bulldozer,D8,11,12.42,3.43,12.42,99.58,12.95,257,5,8981.6,0.688,26.9,0.8898
Compact Track Loader,259D3,10,11.17,3.82,87.17,87.97,12.91,88,6,10237.15,0.4574,49.1,0.9637
Excavator,320 GC,10,9.82,4.75,87.68,79.53,12.56,221,3,913.79,0.497,44.1,0.99
Wheel Loader,950 GC,10,2.88,2.77,44.65,73.71,13.65,169,4,10689.05,0.4874,46.8,0.99
Motor Grader,140,4,13.17,3.72,16.75,95.13,12.49,241,7,3598.8,0.6165,34.1,0.94
Wheel Loader,950 GC,11,6.09,4.68,21.94,79.68,12.72,47,0,619.17,0.1784,76.3,0.8093
Bulldozer,D6,11,11.76,3.49,67.01,73.28,13.25,53,5,554.6,0.3708,57.2,0.919
Motor Grader,140,4,4.53,2.77,67.24,82.78,12.82,263,0,1476.86,0.3538,57.9,0.9186
Bulldozer,D8,2,4.99,2.01,22.05,92.92,14.13,111,4,11843.22,0.3057,62.2,0.8905
Motor Grader,140,3,13.51,5.88,25.3,87.09,13.55,283,7,8315.27,0.6313,36.4,0.9299
Backhoe Loader,420,7,4.79,3.04,74.13,90.22,12.22,178,4,5663.97,0.4612,47.5,0.9808
Backhoe Loader,420,7,12.26,0.71,35.54,96.8,14.45,18,2,10516.43,0.2172,69.0,0.8299
Wheel Loader,950 GC,11,8.43,1.51,95.27,100.15,11.77,11,7,6224.67,0.4557,48.5,0.9661
Compact Track Loader,259D3,1,9.4,5.3,11.2,91.9,13.16,69,7,4627.31,0.329,61.2,0.9042
Backhoe Loader,420,8,3.84,5.15,42.95,92.32,13.5,127,4,4520.06,0.3887,55.6,0.9473
Wheel Loader,950 GC,9,4.81,3.04,33.96,101.53,13.88,241,0,2114.38,0.4624,50.6,0.9678
Wheel Loader,950 GC,8,4.9,4.66,85.09,84.84,11.64,97,0,3093.54,0.1981,70.1,0.8143
Compact Track Loader,259D3,10,7.42,3.69,18.52,99.44,14.03,149,0,11139.21,0.3319,58.5,0.8915
Wheel Loader,966,8,5.68,2.87,97.37,92.07,14.12,234,3,2808.38,0.5007,46.2,0.99
Excavator,336,2,11.26,5.21,25.4,86.14,12.48,221,4,1065.56,0.4098,54.9,0.9559
Articulated Truck,745,1,13.3,5.53,39.81,94.13,14.35,161,6,3239.43,0.4334,50.7,0.9439
Excavator,320 GC,10,8.99,2.18,63.39,79.86,14.1,240,3,6716.48,0.577,39.2,0.9639
Wheel Loader,966,5,13.85,4.8,20.36,89.43,11.91,63,2,5398.17,0.1998,73.3,0.8214
